Nom,Numéro,Série,Bloc,État,Version,Langue Carte,Prix Achat,Prix Actuel
Wailord ex,100/100,Tempete de Sable,Bloc Ex,Played,normal,fr,"0,00 €",91.61
Mega-ohmassacre ex,278/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",33.8
Mega-brutalibre ex,283/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",46.15
Elekable,GG08/GG70,Zenith Supreme,Epee et Bouclier,Mint,normal,fr,"0,00 €",9.64
Amphinobi et zoroark gx,201/214,Alliance Infaillible,Soleil et Lune,Mint,normal,fr,"0,00 €",221.02
Dracaufeu obscur,21/82,Team Rocket,Wizards,Poor,normal,fr,"0,00 €",43.38
Galeking,7/95,Team Magma Vs Team Aqua,Bloc Ex,Played,normal,fr,"0,00 €",9.98
Melancolux,017/086,Flamme Blanche,Ecarlate et Violet,Mint,reverse,fr,"0,00 €",0.16
Jirachi,11/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",26.1
Aligatueur,25/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",13.96
Typhlosion,35/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",12.44
Melodelfe,3/123,Heartgold Soulsilver,Heartgold Soulsilver,Good,normal,fr,"0,00 €",3.73
Gobou,59/109,Rubis et Saphir,Bloc Ex,Good,reverse,fr,"0,00 €",7.47
Zekrom de n,031,Promos Mega-Evolution,Promos,Mint,promos,fr,"0,00 €",18.77
Zorua de n,189,Promos Ecarlate et Violet,Promos,Mint,promos,fr,"0,00 €",10.68
Echange,206/165,151,Ecarlate et Violet,Mint,normal,fr,"0,00 €",5.58
Symbios,212,Promos Ecarlate et Violet,Promos,Mint,promos,fr,"0,00 €",1.73
Siderella,211,Promos Ecarlate et Violet,Promos,Mint,promos,fr,"0,00 €",1.95
Mega-absol ex,161/132,Mega-Evolution,Mega-Evolution,Mint,normal,fr,"0,00 €",8.75
Chamallot,223/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",5.1
Echange,123/094,Flammes Fantasmagoriques,Mega-Evolution,Mint,normal,fr,"0,00 €",2.8
Tcheren,258/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",2.44
Marill,232/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",7.68
Mega-diancie ex,267/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",7.15
Sorbebe,111/086,Flamme Blanche,Ecarlate et Violet,Mint,normal,fr,"0,00 €",8.8
Kyurem ex,157/086,Foudre Noire,Ecarlate et Violet,Mint,normal,fr,"0,00 €",2.65
Iguolta,229/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",4.2
Triopikeur de la team rocket,239/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",8.12
Givrali ex,026/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,stamp,fr,"0,00 €",7.41
Mentali ex,034/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,stamp,fr,"0,00 €",9.7
Zacian ex de nabil,111/159,Aventures Ensemble,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.09
Terraiste de paldea ex,094/159,Aventures Ensemble,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.6
Mega-scarhino ex,004/094,Flammes Fantasmagoriques,Mega-Evolution,Mint,normal,fr,"0,00 €",1.01
Genesect ex,067/086,Foudre Noire,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.73
Keldeo ex,030/086,Flamme Blanche,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.15
Mega-dracaufeu y,030,Promos Mega-Evolution,Promos,Mint,promos,fr,"0,00 €",3.52
Mega-dracaufeu y ex,022/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",5.6
Mega-roitiflam ex,031/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",1.99
Reshiram ex,020/086,Flamme Blanche,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.98
Kyurem ex,028/086,Foudre Noire,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.82
Deusolourdo ex d'okuba,164/217,Heros Transcendants,Mega-Evolution,Mint,normal,fr,"0,00 €",1.48
Noctali,22/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",69.99
Reshiram de n,167/159,Aventures Ensemble,Ecarlate et Violet,Mint,normal,fr,"25,00 €",38.92
Fantyrm,071/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,masterball,fr,"0,00 €",5.2
Victini,012/086,Foudre Noire,Ecarlate et Violet,Mint,reverse,fr,"0,00 €",0.5
Mateloutre,022/086,Flamme Blanche,Ecarlate et Violet,Mint,pokeball,fr,"0,00 €",0.9
Hexagel,027/086,Foudre Noire,Ecarlate et Violet,Mint,pokeball,fr,"0,00 €",0.62
Shaofouine,053/086,Flamme Blanche,Ecarlate et Violet,Mint,pokeball,fr,"0,00 €",1.15
Roigada,32/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",19.27
Dracaufeu ex,234/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",341.36
Evoli,56/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",15.71
Donphan,42/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",5.3
Energy,92/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",75.45
Maganon,16/95,L Appel des Legendes,Appel des Legendes,Excellent,normal,fr,"0,00 €",9.32
